tahun,bulan,kode_kelompok,nama_kelompok,kode_komoditi,nama_komoditi,kalori_kap_perhari,protein_kap_perhari,lemak_kap_perhari
1993,4,02,"Makanan berpati",0203,Gaplek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,02,"Makanan berpati",0204,Tapioka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,02,"Makanan berpati",0205,"Tepung Sagu",0.006657387731232874,0.000013127243413699,0.000003750640975342
1993,4,03,Gula,0301,"Gula Pasir",0.123093839274410958,0.000000000000000000,0.000000000000000000
1993,4,03,Gula,0302,"Gula Merah",0.014809171488767120,0.000003897150391781,0.000000000000000000
1993,4,04,"Buah/Biji Berminyak",0402,"Kacang Tanah Lepas Kulit",0.055159035967479450,0.002509882059895890,0.004786286718871233
1993,4,04,"Buah/Biji Berminyak",0403,Kedelai,0.114412717008821916,0.001066559226353425,0.010827192146315068
1993,4,04,"Buah/Biji Berminyak",0404,"Kacang Hijau",0.028169364881013693,0.000798769320909589,0.002812687715117808
1993,4,04,"Buah/Biji Berminyak",0405,"Kelapa Daging",0.217933924251863009,0.006731990330293151,0.018902820305964383
1993,4,04,"Buah/Biji Berminyak",0406,"Biji Bunga Matahari",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0501,Alpokat,0.001992528017534246,0.000024906600219178,0.000183063511610959
1993,4,05,Buah-buahan,0502,Jeruk,0.001755915316739726,0.000033623910320548,0.000003735990035616
1993,4,05,Buah-buahan,0503,Duku,0.000498425022986301,0.000007911508301370,0.000001582301660274
1993,4,05,Buah-buahan,0504,Durian,0.003316680093616437,0.000033843674424658,0.000119580982967123
1993,4,05,Buah-buahan,0505,"Jambu Biji",0.001508460917917808,0.000037711522947945,0.000025141015298630
1993,4,05,Buah-buahan,0506,Mangga,0.003630503258630137,0.000048406710115068,0.000024203355057534
1993,4,05,Buah-buahan,0507,Nanas,0.011678118815260273,0.001258574462991781,0.000532473811265753
1993,4,05,Buah-buahan,0508,Pepaya,0.010410958901561644,0.000723756501178082,0.000334041462082192
1993,4,05,Buah-buahan,0509,Pisang,0.015884843600109589,0.000207193612175342,0.000034532268695890
1993,4,05,Buah-buahan,0510,Rambutan,0.003552853268904109,0.000080580177232877,0.000025639147301370
1993,4,05,Buah-buahan,0511,Salak,0.005382462823150684,0.000115009889383562,0.000013801186726027
1993,4,05,Buah-buahan,0512,Sawo,0.000553805580821918,0.000011076111616438,0.000003692037205479
1993,4,05,Buah-buahan,0514,Matoa,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0515,Kiwi,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0516,Stroberi,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0517,Kurma,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0518,Tin,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0519,"Buah Naga",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0520,Kesemek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0521,Kelengkeng,0.000360413155068493,0.000007808951693151,0.000000600688591781
1993,4,05,Buah-buahan,0522,"Jambu Air",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,05,Buah-buahan,0523,Semangka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0601,Kangkung,0.000729323858684931,0.000099802212241096,0.000007677093249315
1993,4,06,Sayur-sayuran,0602,Bayam,0.001267013405506849,0.000159753864172603,0.000022035015747945
1993,4,06,Sayur-sayuran,0603,Kubis,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0604,Wortel,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0605,Buncis,0.002793201962821918,0.000162185920421918,0.000009010328912329
1993,4,06,Sayur-sayuran,0606,Tomat,0.000002637169150685,0.000000131858457534,0.000000029301879452
1993,4,06,Sayur-sayuran,0607,"Daun Singkong",0.001186726246575342,0.000061709764821918,0.000009493809972603
1993,4,06,Sayur-sayuran,0608,Terong,0.000622665006164384,0.000024906600246575,0.000004981320049315
1993,4,06,Sayur-sayuran,0609,Pare,0.001733499377013699,0.000101970551589041,0.000020394110317808
1993,4,06,Sayur-sayuran,0610,Labu,0.000845652332876712,0.000032525089726027,0.000003252508972603
1993,4,06,Sayur-sayuran,0611,Kemangi,0.001304080286794520,0.000164427514421918,0.000022679657161644
1993,4,06,Sayur-sayuran,0612,Seledri,0.000604058310493151,0.000095377627972603,0.000006358508531507
1993,4,06,Sayur-sayuran,0613,Selada,0.000397773056712329,0.000037125485293151,0.000005303640756164
1993,4,06,Sayur-sayuran,0614,Sawi,0.000157937147123288,0.000014357922465753,0.000001435792246575
1993,4,06,Sayur-sayuran,0615,Jamur,0.000412570507287671,0.000058134935117808,0.000005625961463014
1993,4,06,Sayur-sayuran,0616,Kentang,0.001951651891863013,0.000050692256931507,0.000002534612846575
1993,4,06,Sayur-sayuran,0617,"Bawang Merah",0.000492271627397260,0.000013537469753425,0.000001230679068493
1993,4,06,Sayur-sayuran,0618,"Bawang Putih",0.001790052007589040,0.000076888139923288,0.000006006885931507
1993,4,06,Sayur-sayuran,0619,Jahe,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0620,Kunyit,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0621,Lengkuas,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0622,Kencur,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0623,Cabai,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,06,Sayur-sayuran,0624,"Daun Bawang",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,07,Daging,0701,"Daging Sapi",0.007838253602739725,0.000589436670926027,0.000595707273808219
1993,4,07,Daging,0702,"Daging Ayam Buras",0.000701047538219177,0.000089224232136986,0.000033990183671233
1993,4,07,Daging,0703,"Daging Kambing",0.000879935533972602,0.000126759944054794,0.000036920372054795
1993,4,07,Daging,0704,"Daging Kerbau",0.000354552777534247,0.000064464141369863,0.000008058017671233
1993,4,07,Daging,0705,"Daging Domba",0.000028276313671232,0.000006153394684931,0.000000219764095890
1993,4,07,Daging,0706,"Daging Kuda",0.001697018532904109,0.000347974507252055,0.000023998241879452
1993,4,07,Daging,0707,"Daging Bebek",0.001644421653808219,0.000278836715210959,0.000025023807775342
1993,4,07,Daging,0708,"Daging Angsa",0.005743168995890410,0.000590725953863014,0.000360999194027397
1993,4,07,Daging,0709,"Daging Ayam Ras",0.000130100356931506,0.000022503845523288,0.000001758112931507
1993,4,07,Daging,0710,"Daging Babi",0.002383561643835616,0.000495890410958904,0.000027397260273973
1993,4,08,Telur,0801,"Telur Ayam",0.001090030030273971,0.000088608892783562,0.000074543989167123
1993,4,08,Telur,0802,"Telur Bebek",0.009513588745068493,0.000683949893564384,0.000719947256383562
1993,4,08,Telur,0803,"Telur Puyuh",0.002453739649369862,0.000203442970928767,0.000173935975145205
1993,4,09,Susu,0901,"Susu Segar",0.003029668155178082,0.000158933411419178,0.000163900080526027
1993,4,09,Susu,0902,"Susu UHT",0.032482895018520544,0.001722379312473972,0.001748575195553424
1993,4,10,Ikan,1001,"Ikan Lele",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,4,10,Ikan,1002,"Ikan Kakap",0.061389788286904102,0.000000000000000000,0.006944546186301369
1993,4,10,Ikan,1004,"Ikan Tuna",0.185334993770630134,0.000000000000000000,0.020965497032876712
1993,4,10,Ikan,1005,Udang,0.001036114554301367,0.000000000000000000,0.000117207528767123
1993,4,10,Ikan,1006,Cumi-cumi,0.000129514307178079,0.000000000000000000,0.000014650939726027
1993,4,10,Ikan,1007,"Ikan Nila",0.000210094495315063,0.000000058603764384,0.000023441505753424
1993,4,10,Ikan,1009,"Ikan Tongkol",0.001942714801424656,0.000000000000000000,0.000219764117808219
1993,5,01,"Padi - Padian",0102,Beras,1.486044978381369860,0.028069738480536986,0.002889531902408219
1993,5,01,"Padi - Padian",0103,Jagung,0.289411764699999999,0.007453344077205479,0.003726672038602740
1993,5,01,"Padi - Padian",0104,"Jagung Basah",0.003699069664438356,0.000134861914849315,0.000046238370805479
1993,5,01,"Padi - Padian",0106,"Tepung Gandum",0.103405757817753424,0.002926042048139726,0.000340898102695890
1993,5,02,"Makanan berpati",0201,"Ubi Jalar",0.023057651452493151,0.000428979561906849,0.000026811222619178
1993,5,02,"Makanan berpati",0202,"Ubi Kayu",0.234415061163835616,0.002051131785183562,0.000439528239682192
1993,5,02,"Makanan berpati",0203,Gaplek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,02,"Makanan berpati",0204,Tapioka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,02,"Makanan berpati",0205,"Tepung Sagu",0.006657387731232874,0.000013127243413699,0.000003750640975342
1993,5,03,Gula,0301,"Gula Pasir",0.123093839274410958,0.000000000000000000,0.000000000000000000
1993,5,03,Gula,0302,"Gula Merah",0.014809171488767120,0.000003897150391781,0.000000000000000000
1993,5,04,"Buah/Biji Berminyak",0402,"Kacang Tanah Lepas Kulit",0.055159035967479450,0.002509882059895890,0.004786286718871233
1993,5,04,"Buah/Biji Berminyak",0403,Kedelai,0.114412717008821916,0.001066559226353425,0.010827192146315068
1993,5,04,"Buah/Biji Berminyak",0404,"Kacang Hijau",0.028169364881013693,0.000798769320909589,0.002812687715117808
1993,5,04,"Buah/Biji Berminyak",0405,"Kelapa Daging",0.217933924251863009,0.006731990330293151,0.018902820305964383
1993,5,04,"Buah/Biji Berminyak",0406,"Biji Bunga Matahari",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0501,Alpokat,0.001992528017534246,0.000024906600219178,0.000183063511610959
1993,5,05,Buah-buahan,0502,Jeruk,0.001755915316739726,0.000033623910320548,0.000003735990035616
1993,5,05,Buah-buahan,0503,Duku,0.000498425022986301,0.000007911508301370,0.000001582301660274
1993,5,05,Buah-buahan,0504,Durian,0.003316680093616437,0.000033843674424658,0.000119580982967123
1993,5,05,Buah-buahan,0505,"Jambu Biji",0.001508460917917808,0.000037711522947945,0.000025141015298630
1993,5,05,Buah-buahan,0506,Mangga,0.003630503258630137,0.000048406710115068,0.000024203355057534
1993,5,05,Buah-buahan,0507,Nanas,0.011678118815260273,0.001258574462991781,0.000532473811265753
1993,5,05,Buah-buahan,0508,Pepaya,0.010410958901561644,0.000723756501178082,0.000334041462082192
1993,5,05,Buah-buahan,0509,Pisang,0.015884843600109589,0.000207193612175342,0.000034532268695890
1993,5,05,Buah-buahan,0510,Rambutan,0.003552853268904109,0.000080580177232877,0.000025639147301370
1993,5,05,Buah-buahan,0511,Salak,0.005382462823150684,0.000115009889383562,0.000013801186726027
1993,5,05,Buah-buahan,0512,Sawo,0.000553805580821918,0.000011076111616438,0.000003692037205479
1993,5,05,Buah-buahan,0514,Matoa,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0515,Kiwi,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0516,Stroberi,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0517,Kurma,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0518,Tin,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0519,"Buah Naga",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0520,Kesemek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0521,Kelengkeng,0.000360413155068493,0.000007808951693151,0.000000600688591781
1993,5,05,Buah-buahan,0522,"Jambu Air",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,05,Buah-buahan,0523,Semangka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0601,Kangkung,0.000729323858684931,0.000099802212241096,0.000007677093249315
1993,5,06,Sayur-sayuran,0602,Bayam,0.001267013405506849,0.000159753864172603,0.000022035015747945
1993,5,06,Sayur-sayuran,0603,Kubis,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0604,Wortel,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0605,Buncis,0.002793201962821918,0.000162185920421918,0.000009010328912329
1993,5,06,Sayur-sayuran,0606,Tomat,0.000002637169150685,0.000000131858457534,0.000000029301879452
1993,5,06,Sayur-sayuran,0607,"Daun Singkong",0.001186726246575342,0.000061709764821918,0.000009493809972603
1993,5,06,Sayur-sayuran,0608,Terong,0.000622665006164384,0.000024906600246575,0.000004981320049315
1993,5,06,Sayur-sayuran,0609,Pare,0.001733499377013699,0.000101970551589041,0.000020394110317808
1993,5,06,Sayur-sayuran,0610,Labu,0.000845652332876712,0.000032525089726027,0.000003252508972603
1993,5,06,Sayur-sayuran,0611,Kemangi,0.001304080286794520,0.000164427514421918,0.000022679657161644
1993,5,06,Sayur-sayuran,0612,Seledri,0.000604058310493151,0.000095377627972603,0.000006358508531507
1993,5,06,Sayur-sayuran,0613,Selada,0.000397773056712329,0.000037125485293151,0.000005303640756164
1993,5,06,Sayur-sayuran,0614,Sawi,0.000157937147123288,0.000014357922465753,0.000001435792246575
1993,5,06,Sayur-sayuran,0615,Jamur,0.000412570507287671,0.000058134935117808,0.000005625961463014
1993,5,06,Sayur-sayuran,0616,Kentang,0.001951651891863013,0.000050692256931507,0.000002534612846575
1993,5,06,Sayur-sayuran,0617,"Bawang Merah",0.000492271627397260,0.000013537469753425,0.000001230679068493
1993,5,06,Sayur-sayuran,0618,"Bawang Putih",0.001790052007589040,0.000076888139923288,0.000006006885931507
1993,5,06,Sayur-sayuran,0619,Jahe,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0620,Kunyit,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0621,Lengkuas,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0622,Kencur,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0623,Cabai,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,06,Sayur-sayuran,0624,"Daun Bawang",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,07,Daging,0701,"Daging Sapi",0.007838253602739725,0.000589436670926027,0.000595707273808219
1993,5,07,Daging,0702,"Daging Ayam Buras",0.000701047538219177,0.000089224232136986,0.000033990183671233
1993,5,07,Daging,0703,"Daging Kambing",0.000879935533972602,0.000126759944054794,0.000036920372054795
1993,5,07,Daging,0704,"Daging Kerbau",0.000354552777534247,0.000064464141369863,0.000008058017671233
1993,5,07,Daging,0705,"Daging Domba",0.000028276313671232,0.000006153394684931,0.000000219764095890
1993,5,07,Daging,0706,"Daging Kuda",0.001697018532904109,0.000347974507252055,0.000023998241879452
1993,5,07,Daging,0707,"Daging Bebek",0.001644421653808219,0.000278836715210959,0.000025023807775342
1993,5,07,Daging,0708,"Daging Angsa",0.005743168995890410,0.000590725953863014,0.000360999194027397
1993,5,07,Daging,0709,"Daging Ayam Ras",0.000130100356931506,0.000022503845523288,0.000001758112931507
1993,5,07,Daging,0710,"Daging Babi",0.002383561643835616,0.000495890410958904,0.000027397260273973
1993,5,08,Telur,0801,"Telur Ayam",0.001090030030273971,0.000088608892783562,0.000074543989167123
1993,5,08,Telur,0802,"Telur Bebek",0.009513588745068493,0.000683949893564384,0.000719947256383562
1993,5,08,Telur,0803,"Telur Puyuh",0.002453739649369862,0.000203442970928767,0.000173935975145205
1993,5,09,Susu,0901,"Susu Segar",0.003029668155178082,0.000158933411419178,0.000163900080526027
1993,5,09,Susu,0902,"Susu UHT",0.032482895018520544,0.001722379312473972,0.001748575195553424
1993,5,10,Ikan,1001,"Ikan Lele",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,5,10,Ikan,1002,"Ikan Kakap",0.061389788286904102,0.000000000000000000,0.006944546186301369
1993,5,10,Ikan,1004,"Ikan Tuna",0.185334993770630134,0.000000000000000000,0.020965497032876712
1993,5,10,Ikan,1005,Udang,0.001036114554301367,0.000000000000000000,0.000117207528767123
1993,5,10,Ikan,1006,Cumi-cumi,0.000129514307178079,0.000000000000000000,0.000014650939726027
1993,5,10,Ikan,1007,"Ikan Nila",0.000210094495315063,0.000000058603764384,0.000023441505753424
1993,5,10,Ikan,1009,"Ikan Tongkol",0.001942714801424656,0.000000000000000000,0.000219764117808219
1993,6,01,"Padi - Padian",0102,Beras,1.486044978381369860,0.028069738480536986,0.002889531902408219
1993,6,01,"Padi - Padian",0103,Jagung,0.289411764699999999,0.007453344077205479,0.003726672038602740
1993,6,01,"Padi - Padian",0104,"Jagung Basah",0.003699069664438356,0.000134861914849315,0.000046238370805479
1993,6,01,"Padi - Padian",0106,"Tepung Gandum",0.103405757817753424,0.002926042048139726,0.000340898102695890
1993,6,02,"Makanan berpati",0201,"Ubi Jalar",0.023057651452493151,0.000428979561906849,0.000026811222619178
1993,6,02,"Makanan berpati",0202,"Ubi Kayu",0.234415061163835616,0.002051131785183562,0.000439528239682192
1993,6,02,"Makanan berpati",0203,Gaplek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,6,02,"Makanan berpati",0204,Tapioka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,6,02,"Makanan berpati",0205,"Tepung Sagu",0.006657387731232874,0.000013127243413699,0.000003750640975342
1993,6,03,Gula,0301,"Gula Pasir",0.123093839274410958,0.000000000000000000,0.000000000000000000
1993,6,03,Gula,0302,"Gula Merah",0.014809171488767120,0.000003897150391781,0.000000000000000000
1993,6,04,"Buah/Biji Berminyak",0402,"Kacang Tanah Lepas Kulit",0.055159035967479450,0.002509882059895890,0.004786286718871233
1993,6,04,"Buah/Biji Berminyak",0403,Kedelai,0.114412717008821916,0.001066559226353425,0.010827192146315068
1993,6,04,"Buah/Biji Berminyak",0404,"Kacang Hijau",0.028169364881013693,0.000798769320909589,0.002812687715117808
1993,6,04,"Buah/Biji Berminyak",0405,"Kelapa Daging",0.217933924251863009,0.006731990330293151,0.018902820305964383
1993,6,04,"Buah/Biji Berminyak",0406,"Biji Bunga Matahari",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,6,05,Buah-buahan,0501,Alpokat,0.001992528017534246,0.000024906600219178,0.000183063511610959
1993,6,05,Buah-buahan,0502,Jeruk,0.001755915316739726,0.000033623910320548,0.000003735990035616
1993,6,05,Buah-buahan,0503,Duku,0.000498425022986301,0.000007911508301370,0.000001582301660274
1993,6,05,Buah-buahan,0504,Durian,0.003316680093616437,0.000033843674424658,0.000119580982967123
1993,6,05,Buah-buahan,0505,"Jambu Biji",0.001508460917917808,0.000037711522947945,0.000025141015298630
1993,6,05,Buah-buahan,0506,Mangga,0.003630503258630137,0.000048406710115068,0.000024203355057534
1993,6,05,Buah-buahan,0507,Nanas,0.011678118815260273,0.001258574462991781,0.000532473811265753
1993,6,05,Buah-buahan,0508,Pepaya,0.010410958901561644,0.000723756501178082,0.000334041462082192
1993,6,05,Buah-buahan,0509,Pisang,0.015884843600109589,0.000207193612175342,0.000034532268695890
1993,6,05,Buah-buahan,0510,Rambutan,0.003552853268904109,0.000080580177232877,0.000025639147301370
